Fecha,Temperatura,Precipitacion
2024-07-23,25.471,0
2024-07-24,24.306,0
2024-07-25,24.461,7.176
2024-07-26,24.823,8.658
2024-07-27,23.34,11.544
2024-07-28,23.57,2.886
2024-07-29,23.167,2.886
2024-07-30,23.592,0
2024-07-31,24.7,0
2024-08-01,22.21,14.577
2024-08-02,24.267,0
2024-08-03,23.911,0
2024-08-04,24.248,4.859
2024-08-05,24.423,0
2024-08-06,24.977,0
2024-08-07,24.509,5.522
2024-08-08,24.92,0
2024-08-09,24.752,0
2024-08-10,25.216,0
2024-08-11,24.817,0
2024-08-12,23.436,7.587
2024-08-13,23.375,3.794
2024-08-14,23.649,3.794
2024-08-15,24.469,0
2024-08-16,25.221,0
2024-08-17,25.311,0
2024-08-18,25.497,26.628
2024-08-19,25.489,0
2024-08-20,24.737,0
2024-08-21,24.508,3.729
2024-08-22,25.512,2.969
2024-08-23,24.167,1.472
2024-08-24,24.764,2.825
2024-08-25,25.443,1.968
2024-08-26,23.585,4.893
2024-08-27,24.924,3.045
2024-08-28,25.34,5.801
2024-08-29,25.892,5.981
2024-08-30,26.707,7.516
2024-08-31,25.064,10.845
2024-09-01,25.237,17.697
2024-09-02,25.048,17.697
2024-09-03,24.876,0
2024-09-04,24.961,17.697
2024-09-05,24.974,17.697
2024-09-06,24.727,13.33
2024-09-07,23.372,8.887
2024-09-08,23.962,8.887
2024-09-09,24.134,13.33
2024-09-10,24.678,4.443
2024-09-11,25.171,3.826
2024-09-12,25.585,7.219
2024-09-13,25.649,5.115
2024-09-14,25.598,3.691
2024-09-15,25.851,9.06
2024-09-16,24.358,6.494
2024-09-17,25.325,6.494
2024-09-18,24.753,12.989
2024-09-19,25.22,12.989
2024-09-20,25.382,0
2024-09-21,23.71,18.726
2024-09-22,24.554,6.242
2024-09-23,23.58,12.484
2024-09-24,23.763,6.242
2024-09-25,23.526,0
2024-09-26,24.104,0
2024-09-27,23.857,15.927
2024-09-28,23.079,15.927
2024-09-29,23.471,7.964
2024-09-30,23.006,0
2024-10-01,20.606,5.365
2024-10-02,21.684,9.346
2024-10-03,21.298,8.185
2024-10-04,24.284,1.882
2024-10-05,24.142,7.932
2024-10-06,24.656,2.577
2024-10-07,25.181,0
2024-10-08,23.457,0
2024-10-09,23.639,2.577
